,route,route-collected,Date,name,type,departure_time,arrival_time,duration,price,seats_available,rating
392,Mopa Airport to Margao,https://www.redbus.in/bus-tickets/mopa-airport-to-margoa?fromCityId=304429&toCityId=206&fromCityName=Mopa%20Airport&toCityName=Margao&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,24-Jul,Kadamba Transport Corporation Limited (KTCL) - 158996,A/C Seater (2+3),12:30,13:25,00h 55m,INR 200,47 Seats available,3.7
393,Mopa Airport to Margao,https://www.redbus.in/bus-tickets/mopa-airport-to-margoa?fromCityId=304429&toCityId=206&fromCityName=Mopa%20Airport&toCityName=Margao&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,24-Jul,Kadamba Transport Corporation Limited (KTCL) - 160438,A/C Seater (2+3),13:30,14:00,00h 30m,INR 150,47 Seats available,3.7
394,Mopa Airport to Margao,https://www.redbus.in/bus-tickets/mopa-airport-to-margoa?fromCityId=304429&toCityId=206&fromCityName=Mopa%20Airport&toCityName=Margao&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,24-Jul,Kadamba Transport Corporation Limited (KTCL) - 159015,A/C Seater (2+3),16:00,18:00,02h 00m,INR 400,47 Seats available,4.7
395,Mopa Airport to Margao,https://www.redbus.in/bus-tickets/mopa-airport-to-margoa?fromCityId=304429&toCityId=206&fromCityName=Mopa%20Airport&toCityName=Margao&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,24-Jul,Kadamba Transport Corporation Limited (KTCL) - 159015,A/C Seater (2+3),16:00,16:25,00h 25m,INR 150,47 Seats available,3.7
396,Mopa Airport to Margao,https://www.redbus.in/bus-tickets/mopa-airport-to-margoa?fromCityId=304429&toCityId=206&fromCityName=Mopa%20Airport&toCityName=Margao&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,24-Jul,Kadamba Transport Corporation Limited (KTCL) - 160437,A/C Seater (2+3),17:30,18:00,00h 30m,INR 150,47 Seats available,3.7
397,Belagavi to Saquelim,https://www.redbus.in/bus-tickets/belagavi-to-saquelim?fromCityId=95083&toCityId=85642&fromCityName=Belagavi&toCityName=Saquelim&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,24-Jul,Kadamba Transport Corporation Limited (KTCL) - 6020,Non AC Seater 2+2,16:00,18:15,02h 15m,INR 140,26 Seats available,3.7
398,Panaji to Mopa Airport,https://www.redbus.in/bus-tickets/panaji-to-mopa-airport?fromCityId=260317&toCityId=304429&fromCityName=Panaji&toCityName=Mopa%20Airport&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,24-Jul,Kadamba Transport Corporation Limited (KTCL) - 158948,A/C Seater (2+3),13:30,14:30,01h 00m,INR 200,47 Seats available,4.4
399,Calangute (goa) to Goa,https://www.redbus.in/bus-tickets/calangute-goa-to-goa?fromCityId=253650&toCityId=210&fromCityName=Calangute%20(goa)&toCityName=Goa&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,24-Jul,Kadamba Transport Corporation Limited (KTCL) - 78627,Volvo AC Seater 2+2,13:30,14:01,00h 31m,INR 100,36 Seats available,3.7
400,Calangute (goa) to Goa,https://www.redbus.in/bus-tickets/calangute-goa-to-goa?fromCityId=253650&toCityId=210&fromCityName=Calangute%20(goa)&toCityName=Goa&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,24-Jul,Kadamba Transport Corporation Limited (KTCL) - 99718,AC Seater (2+2),15:30,16:01,00h 31m,INR 100,40 Seats available,3.7
401,Calangute (goa) to Panaji,https://www.redbus.in/bus-tickets/calangute-goa-to-panaji?fromCityId=253650&toCityId=260317&fromCityName=Calangute%20(goa)&toCityName=Panaji&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,24-Jul,Kadamba Transport Corporation Limited (KTCL) - 78627,Volvo AC Seater 2+2,13:30,14:00,00h 30m,INR 100,36 Seats available,3.7
402,Calangute (goa) to Panaji,https://www.redbus.in/bus-tickets/calangute-goa-to-panaji?fromCityId=253650&toCityId=260317&fromCityName=Calangute%20(goa)&toCityName=Panaji&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,24-Jul,Kadamba Transport Corporation Limited (KTCL) - 99718,AC Seater (2+2),15:30,16:00,00h 30m,INR 100,40 Seats available,3.7
403,Goa Airport to Panaji,https://www.redbus.in/bus-tickets/goa-airport-to-panaji?fromCityId=197221&toCityId=260317&fromCityName=Goa%20Airport&toCityName=Panaji&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,24-Jul,Kadamba Transport Corporation Limited (KTCL) - 99710,AC Seater (2+2),16:00,17:00,01h 00m,INR 150,42 Seats available,4.0
