,route,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
330,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,V Kaveri Travels,A/C Seater / Sleeper (2+1),23:00,05:10,06h 10m,INR 500,26 Seats available,2.3
331,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,V Kaveri Travels,A/C Sleeper (2+1),22:20,04:45,06h 25m,INR 800,29 Seats available,3.4
332,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,KVR Tours and Travels,A/C Seater / Sleeper (2+1),21:55,04:15,06h 20m,569,35 Seats available,3.0
333,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,BSR Tours And Travels,VE A/C Sleeper (2+1),22:00,04:20,06h 20m,INR 880,21 Seats available,3.8
334,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Nani’s Sai Krishna Travels,Non A/C Seater / Sleeper (2+1),22:17,03:30,05h 13m,INR 500,31 Seats available,2.7
335,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),20:55,03:20,06h 25m,INR 470,30 Seats available,3.5
336,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,V Kaveri Travels,A/C Seater / Sleeper (2+1),16:20,23:15,06h 55m,INR 600,31 Seats available,2.7
337,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Navayuga Travels,NON AC Seater / Sleeper 2+1,19:56,04:30,08h 34m,INR 499,39 Seats available,3.1
338,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Orange Tours And Travels,A/C Seater / Sleeper (2+1),17:00,01:00,08h 00m,INR 900,28 Seats available,2.8
339,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Holidays Tours and Travels,A/C Seater / Sleeper (2+1),22:40,04:10,05h 30m,577,29 Seats available,3.3
340,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,KKaveri Travels,Non A/C Seater / Sleeper (2+1),22:27,04:00,05h 33m,INR 500,24 Seats available,2.3
341,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Kaveri Travels,Non A/C Seater / Sleeper (2+1),22:25,04:30,06h 05m,INR 550,33 Seats available,3.1
342,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Mayuri Travels,Non A/C Seater / Sleeper (2+1),19:48,02:00,06h 12m,INR 450,32 Seats available,2.7
343,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,KKaveri Travels,Non A/C Seater / Sleeper (2+1),15:45,23:30,07h 45m,INR 500,21 Seats available,2.2
344,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),14:55,23:20,08h 25m,INR 500,35 Seats available,1.7
345,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Siri Tours and Travels,Non A/C Seater / Sleeper (2+1),22:13,04:00,05h 47m,INR 444,24 Seats available,2.6
346,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,LIMOLINER,A/C Sleeper (2+1),18:30,02:10,07h 40m,INR 767,25 Seats available,2.8
347,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Tranzindia Travels,Scania AC Multi Axle Sleeper (2+1),21:45,03:15,05h 30m,INR 899,25 Seats available,2.5
348,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Morning Star Travels,A/C Sleeper (2+1),22:20,03:55,05h 35m,INR 850,28 Seats available,2.5
349,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,V Kaveri Travels,Non A/C Seater / Sleeper (2+1),16:20,23:15,06h 55m,INR 510,27 Seats available,2.3
350,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Apple Travels,A/C Seater / Sleeper (2+1),22:40,03:30,04h 50m,INR 500,33 Seats available,2.9
351,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Sai RK Travels,Non A/C Seater / Sleeper (2+1),22:45,04:05,05h 20m,INR 399,30 Seats available,2.0
352,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Sai Dasari Travels,Volvo Multi-Axle A/C Sleeper (2+1),23:05,04:27,05h 22m,760,29 Seats available,2.4
353,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),17:50,02:15,08h 25m,INR 500,36 Seats available,2.8
354,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,SAMANVI CITICONNECT,Non A/C Seater / Sleeper (2+1),22:25,03:45,05h 20m,INR 449,29 Seats available,2.9
355,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Morning Star Travels,A/C Sleeper (2+1),22:20,03:30,05h 10m,INR 850,26 Seats available,2.5
356,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,SAMANVI CITICONNECT,Non A/C Seater / Sleeper (2+1),19:10,02:30,07h 20m,INR 449,18 Seats available,2.8
357,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,KKaveri Travels,Non A/C Seater / Sleeper (2+1),22:25,03:40,05h 15m,INR 560,22 Seats available,1.5
358,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Ramana Tours And Travels,A/C Seater / Sleeper (2+1),22:25,04:45,06h 20m,INR 650,37 Seats available,2.2
359,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Orange Tours And Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),13:50,21:15,07h 25m,INR 1000,38 Seats available,2.4
360,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Jagan Travels,Non A/C Seater / Sleeper (2+1),14:15,22:00,07h 45m,INR 820,35 Seats available,1.4
361,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Morning Star Travels,A/C Sleeper (2+1),23:00,05:20,06h 20m,INR 690,28 Seats available,1.9
362,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Sri Keerthana Sai Travels,Non A/C Seater / Sleeper (2+1),14:45,23:45,09h 00m,475,31 Seats available,5.0
363,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Orange Tours And Travels,A/C Seater / Sleeper (2+1),16:10,00:30,08h 20m,INR 700,32 Seats available,1.3
364,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Svkdt travels,A/C Sleeper (2+1),17:00,02:05,09h 05m,INR 990,25 Seats available,4.4
365,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,GMC Travels,A/C Seater / Sleeper (2+1),22:00,03:30,05h 30m,INR 590,37 Seats available,4.3
366,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Prasanna Travels,A/C Seater / Sleeper (2+1),23:55,06:15,06h 20m,INR 400,31 Seats available,3.3
367,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Shyamoli Paribahan Pvt Ltd,Scania Multi-Axle AC Semi Sleeper (2+2),15:30,22:10,06h 40m,INR 600,38 Seats available,4.3
368,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Padma Travels,Non A/C Seater / Sleeper (2+1),21:30,04:00,06h 30m,INR 399,35 Seats available,4.2
369,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Jayanthi Travels,NON A/C Hi-Tech Push Back (2+2),20:00,03:15,07h 15m,INR 449,34 Seats available,4.1
370,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Jayanthi Travels,Non A/C Seater / Sleeper (2+1),21:15,03:00,05h 45m,INR 449,30 Seats available,4.1
371,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Sri Atluri Travels,Non A/C Seater / Sleeper (2+1),22:18,03:50,05h 32m,INR 510,25 Seats available,4.0
372,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Laharisa Tours and Travels,Non A/C Seater / Sleeper (2+1),22:10,04:05,05h 55m,INR 500,23 Seats available,4.0
373,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),19:15,02:25,07h 10m,INR 460,24 Seats available,4.0
374,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Krk Travels,Non A/C Seater / Sleeper (2+1),14:55,23:00,08h 05m,760,24 Seats available,4.0
375,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Sri KVR Travels,A/C Seater / Sleeper (2+1),16:48,00:40,07h 52m,INR 750,34 Seats available,4.0
376,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Sri Atluri Travels,NON AC Seater / Sleeper 2+1,20:00,04:20,08h 20m,INR 450,27 Seats available,4.0
377,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,BSR Tours And Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),17:02,01:05,08h 03m,INR 1470,32 Seats available,4.0
378,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Navayuga Travels,NON AC Seater / Sleeper 2+1,13:25,21:10,07h 45m,INR 890,28 Seats available,4.0
379,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Sri NVR Travels,NON A/C Sleeper (2+1),22:45,04:30,05h 45m,INR 669,29 Seats available,3.8
380,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Vahini Travels,Non A/C Seater / Sleeper (2+1),20:41,04:30,07h 49m,INR 490,32 Seats available,3.8
381,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Vahini Travels,Non A/C Seater / Sleeper (2+1),22:37,04:45,06h 08m,INR 490,31 Seats available,3.8
382,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Sai Srinivasa Travels,A/C Seater / Sleeper (2+1),22:40,04:50,06h 10m,INR 2000,40 Seats available,3.8
383,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Sri Sai Anjana Tours and Travels,Non A/C Seater / Sleeper (2+1),22:35,04:25,05h 50m,INR 399,36 Seats available,3.7
384,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Sri Sai Anjana Tours and Travels,Non A/C Seater / Sleeper (2+1),19:15,02:52,07h 37m,INR 399,32 Seats available,3.7
385,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,SREE KARA TRAVELS,Non A/C Seater / Sleeper (2+1),22:05,04:15,06h 10m,INR 399,31 Seats available,3.7
386,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Sri Sai Anjana Tours and Travels,Non A/C Seater / Sleeper (2+1),21:58,04:40,06h 42m,INR 399,30 Seats available,3.7
387,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,AMIGOS TRAVELS,A/C Sleeper (2+1),22:50,04:50,06h 00m,INR 599,25 Seats available,3.7
388,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Kalyani Transport,Non A/C Seater / Sleeper (2+1),20:45,02:30,05h 45m,INR 500,33 Seats available,3.7
389,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Morning Star Travels,A/C Sleeper (2+1),23:20,05:25,06h 05m,INR 890,28 Seats available,3.2
390,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,DMR Travels,Non A/C Seater / Sleeper (2+1),22:28,04:30,06h 02m,INR 499,30 Seats available,3.6
391,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,KTR Travels,Non A/C Seater / Sleeper (2+1),15:10,22:30,07h 20m,INR 749,17 Seats available,3.6
392,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,DMR Travels,A/C Sleeper (2+1),21:16,03:30,06h 14m,INR 700,26 Seats available,3.6
393,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,CVR Travels,Non A/C Seater / Sleeper (2+1),22:15,04:17,06h 02m,INR 560,29 Seats available,3.6
394,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,DMR Travels,Non A/C Seater / Sleeper (2+1),22:40,04:30,05h 50m,INR 499,27 Seats available,3.6
395,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Vinay's Tours and Travels,A/C Sleeper (2+1),23:20,05:25,06h 05m,474,28 Seats available,3.6
396,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,V Kaveri Travels,Non A/C Seater / Sleeper (2+1),14:50,21:00,06h 10m,INR 780,28 Seats available,3.4
397,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,V Kaveri Travels,Non A/C Seater / Sleeper (2+1),22:20,05:05,06h 45m,INR 560,31 Seats available,3.4
398,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Sri Tulasi Tours and Travels,A/C Seater / Sleeper (2+1),14:20,21:30,07h 10m,949,29 Seats available,3.4
399,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Sri Tulasi Tours and Travels,A/C Seater / Sleeper (2+1),14:50,23:00,08h 10m,854,35 Seats available,3.4
400,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,SAMANVI CITICONNECT,NON AC Seater / Sleeper 2+1,22:25,03:45,05h 20m,INR 449,34 Seats available,3.4
401,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Puri Jagannadh Tours And Travels,Non A/C Seater / Sleeper (2+1),19:45,03:45,08h 00m,INR 444,35 Seats available,3.3
402,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Siri Tours and Travels,Non A/C Seater / Sleeper (2+1),21:58,04:15,06h 17m,INR 444,30 Seats available,3.3
403,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,SVM Tours And Travels,Non A/C Seater / Sleeper (2+1),22:35,04:20,05h 45m,INR 444,33 Seats available,3.3
404,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Sai Godavari Travels,Non A/C Seater / Sleeper (2+1),22:18,04:00,05h 42m,INR 720,33 Seats available,3.3
405,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Siri Tours and Travels,Non A/C Seater / Sleeper (2+1),22:01,04:15,06h 14m,INR 444,24 Seats available,3.3
406,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Mayuri Travels,A/C Sleeper (2+1),21:58,03:30,05h 32m,INR 800,26 Seats available,3.2
407,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Ajay Bus,Non A/C Seater / Sleeper (2+1),22:45,04:30,05h 45m,INR 440,18 Seats available,3.2
408,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Mayuri Travels,A/C Seater / Sleeper (2+1),17:37,23:55,06h 18m,INR 720,37 Seats available,3.2
409,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Ajay Bus,Non A/C Seater / Sleeper (2+1),22:45,04:00,05h 15m,INR 444,31 Seats available,3.2
410,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Mayuri Travels,A/C Sleeper (2+1),19:52,02:30,06h 38m,INR 1110,27 Seats available,3.2
411,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Orange Tours And Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),22:15,04:50,06h 35m,INR 1000,19 Seats available,3.1
412,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Vinay's Tours and Travels,A/C Sleeper (2+1),23:50,05:55,06h 05m,1794,28 Seats available,4.3
413,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Dharani Tours and Travels,Non A/C Seater / Sleeper (2+1),21:30,04:20,06h 50m,INR 499,36 Seats available,3.1
414,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=22-Jul-2024,Sai RK Travels,Non A/C Seater / Sleeper (2+1),22:35,03:30,04h 55m,INR 500,28 Seats available,3.1
